레코드 수,고객 세그먼트,고객명,고객번호,고유 ID,국가,매출,배송 방법,배송 일자,수량,수익,시군구,시도,제품 대분류,제품 중분류,제품 코드,제품명,주문 번호,주문 일자,지역,할인율
1,홈 오피스,안현성,VT-21700,1,대한민국,201225.6,표준 배송,2017. 8. 31.,4,36108,서초구,서울특별시,사무용품,종이,OFF-PA-10000026,"Eaton Cards & Envelopes, 8.5 x 11",IN-2014-27828,2017. 8. 27.,수도권,0
1,홈 오피스,안현성,VT-21700,2,대한민국,313374.6,표준 배송,2017. 8. 31.,7,21848.4,서초구,서울특별시,가구,가구류,FUR-FU-10000944,"Tenex Door Stop, Black",IN-2014-27828,2017. 8. 27.,수도권,0
1,홈 오피스,안현성,VT-21700,3,대한민국,1450684.8,표준 배송,2017. 8. 31.,4,536724,서초구,서울특별시,사무기기,복사기,TEC-CO-10002526,"Sharp Wireless Fax, Digital",IN-2014-27828,2017. 8. 27.,수도권,0
1,홈 오피스,안현성,VT-21700,4,대한민국,211599,표준 배송,2017. 8. 31.,3,80325,서초구,서울특별시,사무기기,악세사리,TEC-AC-10002255,"Memorex Keyboard, Erganomic",IN-2014-27828,2017. 8. 27.,수도권,0
1,소비자,강희수,SO-20335,5,대한민국,123495.48,표준 배송,2018. 6. 30.,2,37754.28,제주시,제주특별자치도,사무용품,가전,OFF-AP-10002882,"KitchenAid Coffee Grinder, Silver",IN-2015-63178,2018. 6. 24.,호남,0.15
1,소비자,정연희,ST-20530,6,대한민국,11628,빠른 배송,2015. 6. 4.,2,2876.4,청도군,경상북도,사무용품,바인더,OFF-BI-10000168,"Cardinal Hole Reinforcements, Recycled",IN-2012-29067,2015. 5. 31.,영남,0
1,소비자,허상재,CS-12130,7,대한민국,267382.8,표준 배송,2016. 8. 22.,2,74847.6,신안군,전라남도,사무기기,전화기,TEC-PH-10001354,"Motorola Speaker Phone, Full Size",IN-2013-15361,2016. 8. 16.,호남,0
1,기업 고객,최이슬,KN-16450,8,대한민국,36600.66,당일 배송,2015. 1. 3.,3,4837.86,사천시,경상남도,사무용품,라벨,OFF-LA-10003396,"Avery Color Coded Labels, Laser Printer Compatible",IN-2012-79397,2015. 1. 3.,영남,0.1
1,기업 고객,최이슬,KN-16450,9,대한민국,281624.04,당일 배송,2015. 1. 3.,1,112620.24,사천시,경상남도,사무용품,가전,OFF-AP-10000304,"Hoover Microwave, White",IN-2012-79397,2015. 1. 3.,영남,0.1
1,소비자,우태희,ML-17410,10,대한민국,514630.8,표준 배송,2016. 5. 16.,5,-42901.2,수성구,대구광역시,사무기기,전화기,TEC-PH-10003062,"Apple Audio Dock, Full Size",ID-2013-63535,2016. 5. 10.,영남,0.4
1,소비자,우태희,ML-17410,11,대한민국,8867.88,표준 배송,2016. 5. 16.,1,-4443.12,수성구,대구광역시,사무용품,필기구,OFF-AR-10001134,"Boston Pens, Easy-Erase",ID-2013-63535,2016. 5. 10.,영남,0.4
1,소비자,임단비,SW-20245,12,대한민국,62506.62,표준 배송,2015. 7. 16.,3,-26172.18,진천군,충청북도,사무용품,일반 사무용품,OFF-SU-10004177,"Fiskars Box Cutter, Easy Grip",ID-2012-65117,2015. 7. 12.,충청,0.45
1,소비자,임단비,SW-20245,13,대한민국,601611.3,표준 배송,2015. 7. 16.,6,24005.7,진천군,충청북도,사무기기,전화기,TEC-PH-10001354,"Motorola Speaker Phone, Full Size",ID-2012-65117,2015. 7. 12.,충청,0.25
1,소비자,임단비,SW-20245,14,대한민국,221215.05,표준 배송,2015. 7. 16.,9,88472.25,진천군,충청북도,사무용품,바인더,OFF-BI-10000089,"Wilson Jones 3-Hole Punch, Recycled",ID-2012-65117,2015. 7. 12.,충청,0.15
1,소비자,임단비,SW-20245,15,대한민국,52762.05,표준 배송,2015. 7. 16.,5,-5836.95,진천군,충청북도,사무용품,봉투,OFF-EN-10003463,"Jiffy Peel and Seal, Recycled",ID-2012-65117,2015. 7. 12.,충청,0.45
1,소비자,임단비,SW-20245,16,대한민국,612856.8,표준 배송,2015. 7. 16.,8,-155325.6,진천군,충청북도,가구,의자,FUR-CH-10001871,"Harbour Creations Steel Folding Chair, Set of Two",ID-2012-65117,2015. 7. 12.,충청,0.25
1,소비자,최유미,PO-18865,17,대한민국,698298.12,표준 배송,2018. 6. 17.,4,-64498.68,울주군,울산광역시,사무기기,복사기,TEC-CO-10000666,"Hewlett Copy Machine, Laser",ID-2015-39084,2018. 6. 13.,영남,0.35
1,소비자,허동춘,AI-10855,18,대한민국,126419.31,표준 배송,2018. 3. 4.,5,-85944.69,완도군,전라남도,사무용품,일반 사무용품,OFF-SU-10004848,"Kleencut Shears, High Speed",ID-2015-44908,2018. 2. 27.,호남,0.47
1,소비자,허동춘,AI-10855,19,대한민국,48524.256,표준 배송,2018. 3. 4.,2,-15613.344,완도군,전라남도,사무용품,종이,OFF-PA-10003332,"Xerox Cards & Envelopes, Recycled",ID-2015-44908,2018. 2. 27.,호남,0.47
1,소비자,임강준,HM-14980,20,대한민국,1445704.956,표준 배송,2016. 10. 31.,3,-296108.244,동구,대전광역시,사무용품,가전,OFF-AP-10000487,"Hoover Stove, Silver",ID-2013-73146,2016. 10. 25.,충청,0.17
1,소비자,임강준,HM-14980,21,대한민국,23159.304,표준 배송,2016. 10. 31.,6,-4380.696,동구,대전광역시,사무용품,라벨,OFF-LA-10000095,"Avery Round Labels, Laser Printer Compatible",ID-2013-73146,2016. 10. 25.,충청,0.47
1,소비자,정희성,MC-18100,22,대한민국,397448.1,특급 배송,2018. 9. 19.,2,-84807.9,서초구,서울특별시,사무기기,전산기기,TEC-MA-10003553,"Epson Printer, Red",ID-2015-62926,2018. 9. 18.,수도권,0.25
1,기업 고객,주소연,AS-10285,23,대한민국,1069157.88,특급 배송,2018. 3. 28.,6,-290216.52,구로구,서울특별시,가구,탁자,FUR-TA-10000147,"Lesro Coffee Table, Rectangular",ID-2015-64914,2018. 3. 27.,수도권,0.3
1,기업 고객,류진주,AO-10810,24,대한민국,802012.536,표준 배송,2016. 10. 14.,3,-575079.264,성남시,경기도,가구,탁자,FUR-TA-10000665,"Bevis Computer Table, Fully Assembled",ID-2013-57809,2016. 10. 10.,수도권,0.47
1,기업 고객,류진주,AO-10810,25,대한민국,77110.776,표준 배송,2016. 10. 14.,2,4221.576000000,성남시,경기도,사무용품,필기구,OFF-AR-10001232,"Sanford Canvas, Fluorescent",ID-2013-57809,2016. 10. 10.,수도권,0.27
1,소비자,노진헌,DK-13090,26,대한민국,62390.034,특급 배송,2017. 6. 15.,3,10247.634,수영구,부산광역시,사무용품,필기구,OFF-AR-10000027,"Binney & Smith Pencil Sharpener, Easy-Erase",IN-2014-76464,2017. 6. 13.,영남,0.27
1,소비자,노진헌,DK-13090,27,대한민국,248621.94,특급 배송,2017. 6. 15.,2,-6826.860000000,수영구,부산광역시,가구,의자,FUR-CH-10003009,"Novimex Swivel Stool, Adjustable",IN-2014-76464,2017. 6. 13.,영남,0.27
1,소비자,강현정,GA-14515,28,대한민국,254836.8,표준 배송,2015. 9. 9.,4,71236.8,영동군,충청북도,가구,의자,FUR-CH-10001313,"SAFCO Steel Folding Chair, Black",IN-2012-32126,2015. 9. 3.,충청,0.25
1,소비자,강현정,GA-14515,29,대한민국,572724.9,표준 배송,2015. 9. 9.,5,-322937.1,영동군,충청북도,사무용품,수납용품,OFF-ST-10003837,"Tenex Lockers, Single Width",IN-2012-32126,2015. 9. 3.,충청,0.45
1,소비자,남주석,TG-21310,30,대한민국,96665.4,표준 배송,2018. 11. 29.,2,25734.6,여주시,경기도,사무용품,필기구,OFF-AR-10000058,"Stanley Canvas, Water Color",IN-2015-12575,2018. 11. 24.,수도권,0.1
1,소비자,강지환,JC-15340,31,대한민국,139132.08,당일 배송,2018. 10. 6.,3,24657.48,강동구,서울특별시,사무용품,필기구,OFF-AR-10004486,"Sanford Canvas, Blue",IN-2015-29697,2018. 10. 6.,수도권,0.1
1,소비자,강지환,JC-15340,32,대한민국,65517.66,당일 배송,2018. 10. 6.,3,15945.66,강동구,서울특별시,사무용품,종이,OFF-PA-10000694,"Green Bar Message Books, Premium",IN-2015-29697,2018. 10. 6.,수도권,0.1
1,소비자,강지환,JC-15340,33,대한민국,809345.52,당일 배송,2018. 10. 6.,6,350712.72,강동구,서울특별시,사무기기,복사기,TEC-CO-10003702,"Brother Ink, Digital",IN-2015-29697,2018. 10. 6.,수도권,0.1
1,소비자,곽찬경,AM-10705,34,대한민국,20724.768,표준 배송,2017. 8. 5.,2,222.768,강남구,서울특별시,사무용품,라벨,OFF-LA-10002139,"Novimex Color Coded Labels, Alphabetical",IN-2014-55051,2017. 7. 30.,수도권,0.17
1,소비자,곽찬경,AM-10705,35,대한민국,273516.57,표준 배송,2017. 8. 5.,5,-211646.43,강남구,서울특별시,사무기기,악세사리,TEC-AC-10001500,"Logitech Memory Card, Erganomic",IN-2014-55051,2017. 7. 30.,수도권,0.47
1,소비자,곽찬경,AM-10705,36,대한민국,324619.488,표준 배송,2017. 8. 5.,6,-116387.712,강남구,서울특별시,사무기기,악세사리,TEC-AC-10003750,"Memorex Memory Card, Erganomic",IN-2014-55051,2017. 7. 30.,수도권,0.47
1,소비자,곽찬경,AM-10705,37,대한민국,243423.306,표준 배송,2017. 8. 5.,1,23164.506,강남구,서울특별시,사무기기,복사기,TEC-CO-10001954,"Brother Wireless Fax, Laser",IN-2014-55051,2017. 7. 30.,수도권,0.37
1,소비자,허아라,RB-19330,38,대한민국,181681.38,빠른 배송,2018. 8. 14.,1,-16178.22,서천군,충청남도,사무용품,수납용품,OFF-ST-10004830,"Eldon Lockers, Blue",ID-2015-76618,2018. 8. 12.,충청,0.1
1,소비자,허아라,RB-19330,39,대한민국,405085.86,빠른 배송,2018. 8. 14.,3,71943.66,서천군,충청남도,가구,의자,FUR-CH-10003836,"Harbour Creations Rocking Chair, Red",ID-2015-76618,2018. 8. 12.,충청,0.1
1,소비자,허아라,RB-19330,40,대한민국,620751.6,빠른 배송,2018. 8. 14.,14,0,서천군,충청남도,사무용품,바인더,OFF-BI-10000340,"Avery Binding Machine, Clear",ID-2015-76618,2018. 8. 12.,충청,0.1
1,소비자,허아라,RB-19330,41,대한민국,101016.72,빠른 배송,2018. 8. 14.,1,30300.12,서천군,충청남도,가구,가구류,FUR-FU-10004158,"Deflect-O Frame, Black",ID-2015-76618,2018. 8. 12.,충청,0.1
1,소비자,진창우,LC-16870,42,대한민국,203190.12,표준 배송,2017. 4. 22.,7,-20434.68,순창군,전라북도,사무용품,바인더,OFF-BI-10004098,"Acco 3-Hole Punch, Durable",ID-2014-34709,2017. 4. 16.,호남,0.1
1,소비자,신슬비,AB-10015,43,대한민국,1060106.4,표준 배송,2016. 1. 16.,4,307346.4,중구,서울특별시,사무기기,악세사리,TEC-AC-10002719,"Enermax Router, Programmable",IN-2013-70325,2016. 1. 12.,수도권,0
1,소비자,신슬비,AB-10015,44,대한민국,145533.6,표준 배송,2016. 1. 16.,2,46512,중구,서울특별시,사무기기,악세사리,TEC-AC-10004054,"Memorex Keyboard, Bluetooth",IN-2013-70325,2016. 1. 12.,수도권,0
1,기업 고객,윤승혁,DV-13045,45,대한민국,109471.5,표준 배송,2015. 8. 24.,3,9684.9,강진군,전라남도,사무기기,악세사리,TEC-AC-10001639,"Belkin Flash Drive, Erganomic",IN-2012-38202,2015. 8. 18.,호남,0.1
1,기업 고객,윤승혁,DV-13045,46,대한민국,141693.3,표준 배송,2015. 8. 24.,3,26759.7,강진군,전라남도,사무용품,바인더,OFF-BI-10002632,"Acco Binding Machine, Recycled",IN-2012-38202,2015. 8. 18.,호남,0.1
1,기업 고객,윤승혁,DV-13045,47,대한민국,37619.64,표준 배송,2015. 8. 24.,2,-875.160000000,강진군,전라남도,사무용품,봉투,OFF-EN-10001789,"Kraft Peel and Seal, Set of 50",IN-2012-38202,2015. 8. 18.,호남,0.1
1,기업 고객,윤승혁,DV-13045,48,대한민국,293603.94,표준 배송,2015. 8. 24.,1,29342.34,강진군,전라남도,사무기기,복사기,TEC-CO-10000786,"Canon Fax Machine, Color",IN-2012-38202,2015. 8. 18.,호남,0.1
1,기업 고객,현천희,JE-15610,49,대한민국,250173.36,표준 배송,2016. 10. 28.,4,102803.76,관악구,서울특별시,사무기기,전화기,TEC-PH-10004300,"Apple Office Telephone, Cordless",IN-2013-10790,2016. 10. 24.,수도권,0.1
